Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authority,Counts,201,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,58653,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authority,Counts,369,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,347028,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,327,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property pperators,All New Zealand Businesses,Counts,55992,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,54,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,12732,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authority,Counts,957,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,474402,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authority,Counts,198,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,56535,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authority,Counts,339,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,351816,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,327,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property pperators,All New Zealand Businesses,Counts,56307,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,51,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,12825,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authority,Counts,918,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,477483,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authority,Counts,201,2014,1 and 2
